R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10
0.4392156862745098,0.44001385847667557,0.4878775297196636,0.0,-1.0,1.0103169732062836,0.003706178488534173, 0.0028284434158449144, 0.002400839772236961, 0.0021524697026215076, 0.001997788719871199, 0.0020892547596610624, 0.0018689252506966549, 0.0017580699499798104, 0.001711088298955296, 0.0015843506379530868,0.021969179395732827, 0.021969179395732813, 0.021969179395732816, 0.021969179395732823, 0.021969179395732816, 0.0, 0.0, 0.02196917939573282, 0.021969179395732816, 0.0,0.0013811913319866987, 0.0016011662154586295, 0.0017405409316493799, 0.0019182329001166084, 0.0020921721988636445, 0.0024083713734164465, 0.002680328727637078, 0.0032027416026965795, 0.004044477293117163, 0.005808740520829573,1.5700755540448166, -0.22390544818171731, 0.16749830027841917, -0.1680626770625732, 0.16785219491533782, 0.056376713642238604, -0.33636478997981717, 0.16859689617882287, 0.2245459271187513, 0.22330583973689141
0.5387596899224806,0.540253328426466,0.7127421062101302,0.0,-1.0,1.0091656233980448,0.002984690183759638, 0.0017380476937736895, 0.001495677204722689, 0.001398766159246322, 0.0013324850893332745, 0.0013014058136944678, 0.0012390404253758743, 0.0011816400828776965, 0.0011564656024991799, 0.0010746681740005195,0.0, 0.0, 0.0, 0.0, 0.026399938265460447, 0.026399938265460447, 0.026399938265460447, 0.026399938265460447, 0.026399938265460447, 0.026399938265460447,0.001595703888647389, 0.0017600601656130824, 0.0019725475758129367, 0.002236245841743488, 0.0025472423898205117, 0.002942270125487437, 0.003436228765649002, 0.004075841825399485, 0.0049379460966164105, 0.006152420644540347,1.558621052662983, -0.29345694380378334, -0.11270760740922559, 0.1129042016653028, -0.022936339181678374, -0.15744437948906007, 0.11326690517233452, 0.06755059244961835, 0.06541562322517645, -0.33749728686719627
0.2823529411764706,0.28319707913043296,0.3312658805119057,0.0,-1.0,1.004652825183765,0.004602159708114788, 0.0033436133348603843, 0.002870853363137703, 0.0024733714442653544, 0.00217763740732361, 0.0019356228416413759, 0.0016795525949967129, 0.0015504902726903107, 0.001438230559238384, 0.0013072250716335047,0.017167172970436018, 0.0, 0.017167172970436028, 0.017167172970436028, 0.017167172970436035, 0.01716717297043603, 0.034334345940872056, 0.01716717297043603, 0.01716717297043603, 0.01716717297043602,0.001704630991877129, 0.0018493807666062653, 0.0020067935572681585, 0.0022112779206687003, 0.002449403425193586, 0.002755483809285338, 0.0031496475706126073, 0.003670422045651507, 0.004353360261723935, 0.005284544596793746,1.5696867599358884, -0.43623287764798335, 0.08741990299632538, 0.00015714769277398746, -0.0007058573324742802, 0.08792248131099048, -0.34835830299692033, -0.34966176396485626, -0.08615844961824197, -0.08651816854814125
0.35918367346938773,0.3597991201568002,0.4830277213619942,nan,-1.0,1.0044393631341053,0.0036069854660521566, 0.0028775827955955877, 0.0024362543059845074, 0.0021457274563072034, 0.0019529687771500262, 0.0018101096452726947, 0.0016967107124902625, 0.0015767407663636428, 0.0015094233974133823, 0.0014132070893032032,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0024530559971243267, 0.00255578218326665, 0.0027391247781811804, 0.002931428185957582, 0.0031140301587526055, 0.003389093397887344, 0.0036998352293694677, 0.004136555591824098, 0.004674317574385826, 0.005355520884719676,1.5693422842614853, -0.21085864113790265, 0.07090304289889665, -0.003172853182705064, 0.21474409252933657, 0.0033038707215096367, 0.07065423671638278, 0.28065124443017103, 0.3582159495780219, 0.004021603426793918
0.4957983193277311,0.4968006496160912,0.5018574232965326,nan,-1.0,1.0223604291509176,0.005540734917316821, 0.0041318835013924825, 0.003270747344732489, 0.0026282265566746326, 0.0021857214070283414, 0.0019201311878901373, 0.0016666333971384491, 0.0015111161307722863, 0.001379604079914628, 0.001228138251061143,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0018724042279234434, 0.0019506195377440338, 0.0020959544153322978, 0.0021968780543897928, 0.002380709186576647, 0.002564405458680684, 0.002779049740531873, 0.0030443044244084214, 0.0033512452159813137, 0.0038520473488960934,1.5697587154806962, 0.08080696710958717, -0.23948573684777152, 0.08076650681855255, -0.13413391929147087, 0.1331899637948426, 0.02499293309451804, -0.024664762143903937, -0.34602105690474355, 0.13486422605018272
0.4380165289256198,0.43872588525033535,0.445825012023166,nan,-1.0,1.017980779243663,0.004438430292629805, 0.0033907594912115703, 0.0029325444291007467, 0.0026528202845292393, 0.0024226411473767984, 0.002289982017779944, 0.0021869446055242502, 0.00206318334520037, 0.0019173727294463326, 0.0018075483714882462,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0020824444685853217, 0.0021708032765539475, 0.0022561232902021198, 0.0023418490543906244, 0.002441570123653535, 0.0025920162522338115, 0.002763898622271876, 0.002995788589866661, 0.0033691246893862935, 0.0039282748193676,1.5693044747311, -0.08867961337105353, -0.3817660419312739, -0.08840149082441993, 0.21083505909611472, -0.02835178098758914, -0.26693354846068545, 0.08997927533511109, 0.14666770092990578, 0.3245130927175624
0.5739130434782609,0.5756112535225469,0.5242486173138143,nan,-1.0,1.0221701282837572,0.005127301304595262, 0.004021438062549972, 0.0035591823032490723, 0.0032041267776514596, 0.0029097620412959096, 0.0026385748193594807, 0.0024451448433760676, 0.002275738669098004, 0.0021644409677881306, 0.0019772479871841457,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0012656660614686417, 0.0013825332660250132, 0.001547889789029629, 0.0017343990014072781, 0.0019520618708381802, 0.0022386173812907924, 0.002570989157192505, 0.003042661154035909, 0.003768661865333158, 0.0053039027941509925,1.5699265698090026, -0.3327181266011653, 0.04888430104494202, -0.04699475418364202, 0.2825466719910924, -0.05031849688243376, 0.09860280131341918, -0.3250636459286388, 0.09339694464330096, 0.08381734234302421
0.3930131004366812,0.39388065843946757,0.5628945923074891,nan,-1.0,1.0077950839687297,0.0032604675004002646, 0.0024276123055219957, 0.002127817312818787, 0.001969884371795238, 0.0018465459423766327, 0.0017685059107423126, 0.0016836372012805254, 0.001638345247189053, 0.0015790049370669338, 0.0015546554031570816,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.002680417334921053, 0.0028525153911202468, 0.0030289630169388943, 0.003238387172586133, 0.0034721771925898563, 0.0037471296067223213, 0.004090245300908681, 0.004565178691188884, 0.005299220389244932, 0.006518333112881595,1.5692974516000686, -0.1743188880634801, 0.3835566402921101, -0.10433382346178009, -0.31404131345309777, -0.31423634005011974, -0.17370725470981987, 0.1759120996683167, 0.03375188645340025, 0.03393019095778306
0.3308550185873606,0.33163682089681656,0.4267176124347856,nan,-1.0,1.0040198833187548,0.004176193181473531, 0.0031586292997977574, 0.002563705557783922, 0.0021227347996075133, 0.00181017243152662, 0.0015719172606952932, 0.0013950578867357435, 0.0012540215867610993, 0.0011472394183821215, 0.0010368848935205098,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0018606994872066062, 0.0020135997557877, 0.0022029990055212707, 0.0024190266813366016, 0.002698691379283406, 0.003012539264205164, 0.0033568613689760893, 0.00378736888161814, 0.004259166538848661, 0.004853338782585814,1.552221970894876, -0.2825700547478588, -0.21069684671696212, -0.07143525535418438, -0.49345373863570147, 0.14051235560159375, 0.0715818204500311, 0.06952839520053863, 0.2827200293937853, -0.07027430629126587
0.4713114754098361,0.4727777336492902,0.47592890301784735,0.39999999999999997,-1.0,1.0337710101690851,0.005250508310350161, 0.0034339443266266103, 0.002889687995348692, 0.0025435108232179588, 0.0022447406716048263, 0.0020621450451531135, 0.0018955941306359031, 0.0017859476906350767, 0.0016416898181211654, 0.0015568027367648424,0.07306029426953008, 0.02435343142317669, 0.0243534314231767, 0.02435343142317669, 0.0243534314231767, 0.02435343142317669, 0.02435343142317669, 0.02435343142317669, 0.07306029426953008, 0.048706862846353366,0.0014647856260533332, 0.0016048918224122518, 0.0017638607251621577, 0.0019693277284767814, 0.0022102864549892643, 0.0024795628580572566, 0.0028039655022926704, 0.003213101476844083, 0.00372439164524324, 0.004543440971148754,1.5837360888317096, -0.09945954628650006, -0.21356171709551874, -0.2844082922928828, 0.262225802741555, 0.2867264283261481, 0.06931595067430332, 0.14744694421247798, 0.2013786332480489, 0.18348315155710565
