R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10
0.4153225806451613,0.41691127637273634,0.48274881876664133,0.0,-1.0,1.008642007653838,0.00412241399336217, 0.003108477140230019, 0.0026500180452659174, 0.0023454720525920153, 0.002109913437350808, 0.0019265498720312882, 0.0017693400872515865, 0.0016448385446609973, 0.0015320109483354706, 0.001427471136660233,0.02166615623165375, 0.0, 0.021666156231653754, 0.021666156231653758, 0.0, 0.02166615623165375, 0.0, 0.021666156231653754, 0.0, 0.021666156231653758,0.0019199697063023854, 0.0020380022587760576, 0.0021908559284499634, 0.0023439094707270462, 0.002540065756556112, 0.0028071358936355324, 0.0031346712262014416, 0.00357134747777104, 0.004163103479451329, 0.005032234521569056,1.5546400279258865, -0.21187930623969992, -0.1534698720322646, 0.09250808574478742, 0.029828382473235392, 0.029301415371036126, -0.08865312061840641, 0.20954048165451666, -0.2697129532238889, 0.14711221946666614
0.4555984555984556,0.45684349253212136,0.4352361323402351,0.0,-1.0,1.021622945065231,0.004932347877512564, 0.003652024601841733, 0.0029662469653513653, 0.0024860125770878047, 0.0021777673121630525, 0.0019519995526605708, 0.0017631573441497363, 0.001612259271137342, 0.0014802082211373252, 0.0013500489668179293,0.022280798961629735, 0.022280798961629746, 0.02228079896162974, 0.022280798961629735, 0.02228079896162974, 0.02228079896162974, 0.02228079896162974, 0.02228079896162975, 0.02228079896162974, 0.0,0.0010238239690702644, 0.0011402318666714484, 0.0012743212930347734, 0.0014306218479130852, 0.001654402511901884, 0.0019563425741919655, 0.00233461617845917, 0.002863653578518938, 0.003646418650367937, 0.005118913728897648,1.5701345189924045, -0.026224568616622757, 0.3462469352152424, -0.13303014854182738, 0.13313207933265095, 0.29387437772630204, -0.132427478641162, -0.026797674691153378, 0.29160783642982907, -0.07958646912626062
0.425,0.42616600259550297,0.43261459429516075,0.0,-1.0,1.0080881513199031,0.0052683263107613605, 0.003344709517882624, 0.0026583266333474534, 0.002294227293308469, 0.002131261247937842, 0.001970725263722039, 0.0019022929219336278, 0.0018063714402976037, 0.001666034534779605, 0.0016262148710047195,0.022765164156447776, 0.022765164156447772, 0.02276516415644778, 0.04553032831289555, 0.02276516415644778, 0.02276516415644777, 0.022765164156447776, 0.022765164156447772, 0.04553032831289555, 0.022765164156447772,0.0013871776849974926, 0.001513085485912882, 0.0015919279968914905, 0.0017668614642342086, 0.0019837439531331645, 0.0022679181805430625, 0.0026719175320794805, 0.00322060265949516, 0.003968074957518962, 0.005076152834211116,1.5701623069234303, 0.15380016022089674, 0.09268249373483485, -0.40049045739990563, 0.2152051543513345, -0.03084292597137312, -0.2767615410052185, -0.0932770527215393, -0.03150973880458197, 0.6484020436722752
0.3902439024390244,0.39155775599337517,0.6852765783410965,nan,-1.0,1.0160111445480722,0.003093766120523659, 0.0021503018990539154, 0.0016097657715119147, 0.0013113940122913995, 0.0010716006997318855, 0.000908066473992159, 0.0007691542629919468, 0.0006763412270607954, 0.0006001846975714323, 0.000536545994991787,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.002441071671374869, 0.002696899572161626, 0.0029850822619933285, 0.0033218059890776975, 0.0037224660270377863, 0.0041756509905771545, 0.004729919050587905, 0.005404484542818216, 0.006293068453491688, 0.007529464953505846,1.5689609439465872, -0.06503835773397233, 0.4574601966055374, -0.19513196594810597, -0.26190454777003286, -0.19502168709815748, -0.327369879387809, -0.12973848349518807, -0.0016241870069509206, -0.06510755481203141
0.4262295081967213,0.4269781422836038,0.6482677285519189,nan,-1.0,1.012270944865858,0.0027409315773558986, 0.002048174081392721, 0.0017241632392464706, 0.0015488882145723768, 0.0014176778201381232, 0.0013477790869080599, 0.001287486896205245, 0.0012107994484291831, 0.0011482814697368502, 0.001099863809373998,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0028017546539683543, 0.002947391590383742, 0.0031175820336674263, 0.003316344963306037, 0.003541852535514833, 0.003814417843503889, 0.004130647054740501, 0.004505848258202551, 0.004944022183044455, 0.005520246328572563,1.568710282586859, 0.0018752838595743801, -0.2399465847972011, -0.06134146460172411, 0.0008268947739741867, -0.06362475569154483, 0.1242882139665262, -0.0009752860788924928, -0.18122505679457301, -0.05755995343872423
0.4291497975708502,0.43046844796516337,0.5452149688295734,0.0,-1.0,1.0178150857402175,0.00398079729995422, 0.002811905049563147, 0.0023251198431716597, 0.0020339951428435836, 0.0018088474361258845, 0.0016490764868740805, 0.0015340343550572242, 0.0014264928686832893, 0.001338661019681594, 0.0012520511108158393,0.02228079896162974, 0.022280798961629742, 0.022280798961629735, 0.022280798961629728, 0.02228079896162974, 0.022280798961629746, 0.022280798961629742, 0.02228079896162974, 0.022280798961629746, 0.02228079896162974,0.0019457231652462903, 0.0021084992171201645, 0.002310577546047047, 0.002548157493678031, 0.00281192216429506, 0.0030934317634605264, 0.0034435269603826095, 0.003903856447868978, 0.00449335623775721, 0.005491358465310997,1.5698381931910013, -0.14923766282000223, 0.32801302009383343, -0.08952872896739845, -0.14912602771963995, -0.08715180897970223, -0.08987542645928134, 0.2050260937509627, -0.49780890108435416, 0.14207254100709066
0.4493927125506073,0.4503955540538747,0.3391679139527899,0.4545454545454546,-1.0,1.0125114193753397,0.004907259767069615, 0.0035991168635380183, 0.0032870664029613626, 0.002998758305039546, 0.0029448171515854557, 0.002823305905022081, 0.0026647767374148846, 0.0026223162589402217, 0.002564713964261923, 0.0024989439748283044,0.0, 0.02309994598227789, 0.04619989196455578, 0.02309994598227789, 0.04619989196455577, 0.023099945982277895, 0.04619989196455578, 0.04619989196455578, 0.023099945982277884, 0.0,0.0010911083256320924, 0.0012016690773128257, 0.001315802400683676, 0.0014354438772278561, 0.0016589774760962259, 0.0018265232499878109, 0.0020763798285532006, 0.0024012637533715178, 0.0028589005591805406, 0.0035720256237901592,1.5843033518564036, -0.00037979252769214665, 0.2261294864931304, -0.33913256911064954, -0.056043781474636206, -0.17009953407133385, -0.2836782965033643, 0.11319336448362252, 0.05755499406493466, -0.11281203587108923
0.41732283464566927,0.4183173147751034,0.5171560637190328,0.0,-1.0,1.0488551297972843,0.003941443596550605, 0.0027993348278897907, 0.0023313748731972218, 0.002102705754775109, 0.001940783198902988, 0.001742532868233987, 0.0016419101738614655, 0.0015553261644351967, 0.0014280030949704076, 0.0013476228306025905,0.0, 0.02122697738912022, 0.0, 0.0, 0.04245395477824043, 0.04245395477824044, 0.04245395477824043, 0.042453954778240474, 0.021226977389120216, 0.04245395477824043,0.002480454910342684, 0.0025765029059981958, 0.002683448140296178, 0.002791966356585818, 0.0029428859186545553, 0.0031035595100349384, 0.003237557038693275, 0.0034093517064016465, 0.003640133024536033, 0.00428582872995495,1.5692874424283665, -0.32639810583187445, 0.030317397353402588, -0.14785915833160063, 0.029590495549699315, 0.20730143415614755, -0.1472793326086507, 0.2663219587312117, 0.14654846541410355, 0.08904661850364796
0.44573643410852715,0.4467570696622541,0.3048830206402012,0.8333333333333334,-1.0,1.018417202432517,0.0060826204773870495, 0.0042975776062803275, 0.0034933957282735017, 0.002956958018550214, 0.0025722672185842267, 0.002249551154520356, 0.001996530595930718, 0.0018113680602720404, 0.0016764712845586968, 0.0015133387264136995,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02196917939573282, 0.021969179395732827,0.0007436224430602473, 0.0008122709799366165, 0.000895179668597415, 0.0009820630623082363, 0.0011028384150401807, 0.0012503518046035756, 0.0014640770757686924, 0.001776153719743509, 0.0023914277389950724, 0.004207710724051184,1.584092308340977, 0.10938948935023811, 0.21839906586406452, 0.1641082764781814, 0.10899105427852893, 0.16440770681863418, -0.0003107617092946051, 0.00015620573602816447, 0.054270970435581246, 0.27393704332319807
0.512,0.5131516987137822,0.5671748322489578,nan,-1.0,1.0081491912409395,0.004131823957924922, 0.0027782954111667648, 0.002402377734606723, 0.00220389859579624, 0.0020376567416485318, 0.0018920374223274025, 0.00177440427704466, 0.0016919084460491924, 0.0015898620894474027, 0.0015027777614240417,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.001322988194972644, 0.001503290843771247, 0.0017101843033313243, 0.0019499157874118722, 0.002277313483531617, 0.002638620848239553, 0.003067101011509844, 0.003607554759878361, 0.004268881580859342, 0.005137932556302506,1.54559076764644, 0.07199003763748676, 0.22002413516516425, 0.12246300733068556, 0.3203301400679412, 0.12369670961192732, -0.3193335659637554, -0.12313148395584686, -0.07327401406338627, 0.17077396839176048
