R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10
0.411522633744856,0.41326914303746926,0.5404814350601046,0.0,-1.0,1.0085386872902287,0.004074495660026153, 0.0023219146364571145, 0.0019181735841490679, 0.001773014206208709, 0.0016756138688033809, 0.0016199417697231027, 0.0016003514340563105, 0.0015651317402875604, 0.001506227845732658, 0.001450357135584543,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02196917939573282, 0.0, 0.0,0.001575174107653151, 0.001739555292443253, 0.001873620120135772, 0.0021708582699389535, 0.002503089005954209, 0.002877206545307468, 0.003426289050976863, 0.004310814814469117, 0.005383652848578978, 0.00694659890173865,1.5695453448145806, -0.37565265093660855, -0.37263494099465105, -0.1959140710878555, 0.31403662626053125, 0.4412236980336813, 0.2610356989234414, -0.12684430286821333, 0.053129525933402685, -0.31164183738818424
0.37398373983739835,0.3750106345235374,0.3966380556669935,nan,-1.0,1.0195759083894662,0.004397595640002584, 0.003359023805024115, 0.002712432321880524, 0.0024435505044948, 0.002155046322973332, 0.001996946020712453, 0.0019476902702291227, 0.0018562441961289494, 0.0019545403810043755, 0.001747216767525323,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0021598763542666007, 0.002240858021525789, 0.0023460426804090277, 0.0024035330600617913, 0.002457806066845931, 0.002563656629611781, 0.0027046237531204893, 0.0028602977360732726, 0.003197664197344753, 0.0041027083735706345,1.5696648723645306, -0.13655622381103497, 0.20500150429158295, 0.13645640287877994, 0.06872134996756869, -0.20502404697733884, 0.13639607350599695, 4.1790832537911594e-05, 0.2711022952962271, -0.062453675688017726
0.5321888412017167,0.5330006355507702,0.46671622118501577,0.0,-1.0,1.0152061833452755,0.004046773524157276, 0.003784208631949486, 0.0034693422170419576, 0.003284333948610273, 0.002864127832089182, 0.0032522942314147005, 0.002976963381840292, 0.003304918363151382, 0.003075095542283439, 0.002722681286057868,0.0, 0.02882195095036507, 0.028821950950365074, 0.0, 0.0, 0.028821950950365074, 0.0, 0.0, 0.0, 0.028821950950365074,0.002086677040813048, 0.0019571689743351317, 0.0020225971004728485, 0.0021827863971439357, 0.0022141168382929896, 0.002317060417145444, 0.002676167492202185, 0.00283922517905885, 0.003033070248682918, 0.0038895619578327885,1.5696467917938426, 0.24315910638949198, -0.3112079984647293, -0.4931847415188188, -0.09259063888595334, 0.13786802076221918, -0.181563130679694, -0.4407036749571932, 0.07717315323946183, 0.03390871085578579
0.525,0.5258930686395911,0.4749366578994659,nan,-1.0,1.0310566413247515,0.0041659031957865765, 0.0037392152870139588, 0.0034072188858843087, 0.0031414563531306293, 0.0029357864391974862, 0.0027459713880024655, 0.002597214351965178, 0.0024682611108648427, 0.002351033484183491, 0.0022320124504452946,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0013661439480542915, 0.001471845089777342, 0.0016050934887286983, 0.0017672287387889016, 0.001958987108292526, 0.002201785870324512, 0.002521988151121148, 0.0029498668650228296, 0.0035658035611714992, 0.004966131568032488,1.5699051367224084, 0.22552796308741274, 0.17366872075973486, 0.12544210875776513, 0.22379120088955035, -0.07514023808732674, -0.023220678224221986, 0.32260324764318915, 0.12410451893704422, -0.07355881817627825
0.41841004184100417,0.42002347894194747,0.3825289167375131,0.0,-1.0,1.0293196889149645,0.005272025857198559, 0.00394144500961807, 0.0033988327043531497, 0.0029790063395407716, 0.0026322516064137794, 0.0023464641627956484, 0.0021113599457956247, 0.0019031762052503943, 0.0016906778970977431, 0.001546409377154924,0.022601385997048872, 0.02260138599704888, 0.0, 0.0, 0.022601385997048865, 0.0, 0.0, 0.0, 0.0, 0.0,0.0017829987433737094, 0.0018696947574724434, 0.0019478313164281822, 0.0020560293299454893, 0.0021614564726313867, 0.00228174335961395, 0.002419896164226466, 0.0025984075817579817, 0.002853784196388279, 0.003985868746322112,1.5374819917059088, -0.013763068847553985, -0.1481265306387349, -0.2776705582466939, 0.13664948123758328, 0.08584538566771296, -0.21863326335322733, -0.45555521168476626, -0.015522337549818577, 0.07697409034386479
0.45849802371541504,0.4598078308532771,0.4514132033815701,0.0,-1.0,1.0332649270514294,0.005329850701381776, 0.00355628799238525, 0.0029349694068685653, 0.002520813086723769, 0.002205134334884897, 0.0019719849203415907, 0.0017721137581144313, 0.0015885873523946682, 0.0014378865149963426, 0.001306354329977006,0.0, 0.022931333237881702, 0.0, 0.0229313332378817, 0.022931333237881706, 0.022931333237881702, 0.0, 0.0, 0.0229313332378817, 0.022931333237881702,0.001441536777493002, 0.0015598891982855656, 0.0017009878887462864, 0.0018782180141110661, 0.002070679824818684, 0.0022926406495323154, 0.0025651226016107074, 0.0029187449089093094, 0.0033697375090835906, 0.004132832643413924,1.5699775935009563, -0.16216366942875884, -0.21634776853954157, -0.10881172527161931, -0.10785137445115871, -0.16282531704380174, 0.16219339540317082, 0.05488540310042044, -0.16265469959879533, -0.10818971266223662
0.4878048780487805,0.4899525681845145,0.579080637727943,0.0,-1.0,1.0124447484491212,0.0046181778219175984, 0.0029858849817640328, 0.002404670330750748, 0.002224466961574391, 0.0018806189082071214, 0.0016930340119126696, 0.0015403559104822384, 0.0013594833719674192, 0.0012461881065309595, 0.0012003914243075618,0.0, 0.0, 0.0, 0.0, 0.024933275028490416, 0.0, 0.024933275028490402, 0.0, 0.024933275028490427, 0.0,0.0021476154366036723, 0.002297138954411058, 0.0024406340066015597, 0.002637954850754172, 0.0028808159991204675, 0.0030962571443856153, 0.003362249439686891, 0.003574202474405786, 0.0038416451346932187, 0.004278224502286698,1.5693374629363612, 0.3714298925489154, -0.16088742866403546, 0.361347196664889, -0.09693551246603402, 0.10798962598704911, -0.16706042869497248, 0.15906073751585945, 0.37608341778853815, -0.11254922212861915
0.2606837606837607,0.2617761505621842,0.2438156456497809,0.21428571428571433,-1.0,1.0206016081041682,0.004752799797179812, 0.003615428695570942, 0.0031250434273404045, 0.002834475814238232, 0.0025879079218111807, 0.002408629157034769, 0.0022581383781517398, 0.002153250374976894, 0.002067668101234203, 0.0019970347850693164,0.03631899021491091, 0.018159495107455445, 0.0, 0.036318990214910904, 0.01815949510745544, 0.0, 0.018159495107455452, 0.018159495107455452, 0.036318990214910904, 0.018159495107455445,0.0018177106862423637, 0.001915570326481351, 0.0020025974094935845, 0.0020964592756703053, 0.0021025446416662917, 0.002215451892491199, 0.0023813083104360353, 0.002582856003722437, 0.0031286046199526076, 0.005178376684976476,1.5951804967925447, -0.257707156701337, 0.25703611729200726, -0.15447092542699253, -0.36051616891438476, -0.5658768997705953, -0.15289092090490056, 0.1560399060641492, 0.3613179658762122, 0.4644407066507902
0.4669421487603306,0.46789592495555526,0.4311361711530129,1.0,-1.0,1.0192955843677831,0.005061059936905292, 0.0037527531483668207, 0.0030800922962058034, 0.0026976483354214783, 0.002378247631506997, 0.002227833556009707, 0.0020515597596699824, 0.0018777496373520064, 0.001835283702441991, 0.001758660295003907,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0014546492968913396, 0.0015352505599386527, 0.0016836245926801258, 0.001781656878674564, 0.0018789481623497863, 0.0020711736444759795, 0.0023286951100643877, 0.0027145379016478392, 0.003293027342956693, 0.00437739678943867,1.5561495394578932, -0.19450924798602875, -0.24981831959607517, 0.055787637940147884, 0.02772357421982497, -0.02807003029267904, -0.027978916357581363, 0.2503852706557724, 0.30625397645097735, 0.02810833193202402
0.5532786885245902,0.5545564710705158,0.6132603181633184,1.0,-1.0,1.0277919574125,0.004808709672588397, 0.003312833494104857, 0.0026768954166407994, 0.002258859154230296, 0.0019554211856705303, 0.0017417209256603324, 0.0015749320844250937, 0.001432656538773285, 0.0013356609676859973, 0.0012402256037138144,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0018794948987943942, 0.0020069819388494822, 0.002114708611842794, 0.002265715353627423, 0.002440790841575591, 0.0026567960125506098, 0.002935818559696531, 0.0033412745106429173, 0.0039301406356410905, 0.00502797963340289,1.558221241717527, -0.25607904398512477, 0.16254541769964997, 0.48865335134545135, -0.13906170145882402, -0.27819834636025104, -0.13873905814079546, -0.0006693396859219514, 0.09216012943452272, -0.1870731225617445
