R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10, M_s11, M_s12,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10, P_s11, P_s12,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10, M_u11, M_u12,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10, P_u11, P_u12
0.1330166270783848,0.1340214200457982,0.22566776673135255,0.0,-1.0,1.0034596833248153,0.0003694052645174503, 0.0004237254931466242, 0.00035729533774648674, 0.00035043538680226623, 0.0003131168820249516, 0.000325908363483436, 0.0010153440484610573, 0.0008968259949929095, 0.0006325322831530033, 0.0009537622348845222, 0.0009705350936484476, 0.002087403594796488,0.0, 0.0, 0.0, 0.00860710316051998, 0.008607103160519979, 0.0, 0.008607103160519979, 0.00860710316051998, 0.0, 0.0, 0.0, 0.0,0.0004272830737681682, 0.0005497037375948615, 0.0005221018609814527, 0.00040877146374174617, 0.00038275071077974323, 0.0005086464785165613, 0.0034005832901573994, 0.0019486007412963537, 0.0014891533376833227, 0.001784499114522824, 0.001779492185618096, 0.0033173109297137643,1.5705723843255865, 0.33682261195955016, -0.33616441842443756, -0.8975852200894366, 1.2338663409437591, 0.11252513256789554, -0.11252003012930505, -0.5604074619292846, 0.0004478833836655082, 0.6738810474539042, 0.6738853180855358, 0.3361237304297075
0.014634146341463415,0.014695093895228646,0.08356160366396442,nan,-1.0,1.000498453322687,0.0003978365329907307, 0.00040455426321988144, 0.0004814804489478043, 0.00034703448894729614, 0.00042935496801656275, 0.00043168217182749566, 0.000878889523228742, 0.0010314387383213409, 0.000980128434873081, 0.0010548511877308657, 0.0010067277791691528, 0.0019484336763002641,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.00102943156027867, 0.004242179525364141, 0.0033620400437005585, 0.002616316264421175, 0.0013515417740016724, 0.0038215046807702816, 0.005556784838255288, 0.002874514074838863, 0.003962741037604766, 0.003899111100401087, 0.003952792299712331, 0.020995837312157307,1.569804043285768, -0.5125887657681415, -0.5114393903931019, -0.5286012648663577, 1.5640748422339712, -0.511786344016882, -1.5363816680716058, 0.5144068107031586, -0.5145126633039637, 0.5074898004643399, 0.5073388470258244, -0.513138245042514
0.2489451476793249,0.24990542638895394,0.2574863652292666,1.0,-1.0,1.004519043571732,0.00043293903603877854, 0.0004094610295774424, 0.0005209350491156004, 0.00035058901805889715, 0.00040862765038771764, 0.0004271046531517299, 0.0014760895349803741, 0.0015180431949501486, 0.0010229859109584629, 0.0008601287368135193, 0.0008611602465654014, 0.001280384401101701,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.000706294647286914, 0.0004804432892935764, 0.0006366500809931586, 0.0006002071932383087, 0.0005795057672261655, 0.00042575939777073416, 0.0009792996030453065, 0.0013042985724783308, 0.0010179067695135567, 0.0011657337750100648, 0.001115087974615587, 0.0009993946722388158,1.597289473660678, 0.6387576697258737, 0.3194422126858589, -0.8517841521751311, 0.42595311257637064, 0.6388233057994016, -0.42578591137788857, -0.21292506262315397, -0.10653229539389353, 0.8521562381497834, 0.8522148167366774, 0.6386301491485843
0.04716981132075472,0.04739671610329725,0.10400434137371063,nan,-1.0,1.002186199420963,0.000831877189924016, 0.0007237228238066827, 0.000495566380485116, 0.0006974591868667216, 0.0005942791138831212, 0.0004900389339188732, 0.0015413990512913834, 0.001045010029485029, 0.0010926223790843853, 0.0012353751654260137, 0.0011538544094381578, 0.0011359150865589657,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.002497209816283921, 0.0018028245457880725, 0.0010526591180121665, 0.0020982903292707236, 0.0016419368047262497, 0.0008931008520213534, 0.0030721441093362312, 0.0026292510157693155, 0.002138196328117876, 0.002034426301858112, 0.0024128895646693058, 0.003606380847395785,1.5687866800428734, 1.5679428683893128, -0.31527738524998133, -1.5684209171231074, 0.627783278443086, 0.9405804423828539, -0.6264411642431559, 0.003808248102710322, -0.0037373935615628616, 0.9406372356297862, 0.9396568864250042, 1.2541873357533664
0.0936768149882904,0.0941116033982657,0.1314789843044186,0.0,-1.0,1.0022206349266116,0.0008680504173191217, 0.0008894849671653508, 0.0003966105995341706, 0.000827528478050114, 0.0005502305688427221, 0.0005556387167008198, 0.001663151925978536, 0.0012111670082962157, 0.001084522809826824, 0.0010856802224376468, 0.0010077529769871507, 0.0010530624083232348,0.008117810474392232, 0.00811781047439223, 0.00811781047439223, 0.01623562094878446, 0.01623562094878446, 0.00811781047439223, 0.02435343142317669, 0.02435343142317669, 0.02435343142317669, 0.00811781047439223, 0.0, 0.008117810474392228,0.001288874128945747, 0.0012491103628154906, 0.00030953190505802303, 0.0012564790973986653, 0.000703447903215788, 0.0006497606383766037, 0.0020636068680735253, 0.0017913403220867618, 0.0012519173889762307, 0.0021852081649690893, 0.001998678655859994, 0.0016454384132971174,1.569711500109896, 0.9411383396924284, -0.31433526185001537, -0.9412596712630359, 1.2562228391088914, 0.784676956979437, -0.6276702047486845, -0.15010456942374845, -0.15226777216721019, 0.005379524805275866, 0.31525942405530955, 1.4127640847790306
0.3562231759656652,0.35702482289633447,0.4643373801196151,1.0,-1.0,1.0077897492548569,0.0006862204421217476, 0.0007267875593622158, 0.00032396133964071865, 0.0006724553978091818, 0.0004406371669043571, 0.0004630652095685217, 0.0011749181243875212, 0.0008093060669336671, 0.0006916478928886473, 0.0010448744493440304, 0.0009561476611020968, 0.0008108201064861944,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0013805378943647707, 0.001103035745485965, 0.0005570606467659209, 0.001205479245456549, 0.0009171190245770307, 0.000532400217613888, 0.0017341080383264822, 0.0009840655443776373, 0.0010311468416018834, 0.001429220096703182, 0.0015067530897628864, 0.0014063876520294066,1.551058488115786, 0.7936073770376251, -1.060152429392496, -1.2101662789340384, 1.324568371177977, -0.038664825510827165, -0.8313316595489554, 0.26418746597775444, 6.167601485394115e-05, 0.8700640667203392, 0.9453917258915817, 1.0210552276223197
0.06928406466512702,0.06982226680452405,0.1732729176509369,0.0,-1.0,1.0036944057368216,0.0003289461972212768, 0.00039384343815176303, 0.0003584844489138952, 0.00029865819459677325, 0.0003142420353968727, 0.00033943019184501784, 0.0004829949445050485, 0.0005224554420239411, 0.00043405247060564553, 0.000802714187710959, 0.0017787820243226214, 0.002203920576128638,0.007795515269453586, 0.015591030538907166, 0.0, 0.015591030538907159, 0.007795515269453581, 0.0, 0.01559103053890715, 0.015591030538907162, 0.015591030538907164, 0.015591030538907171, 0.015591030538907166, 0.015591030538907159,0.0006951733740727104, 0.0009396669891162961, 0.0008948864063905149, 0.0006963221512317187, 0.0007065306277929635, 0.0008085512894794398, 0.001812436009651859, 0.0016022398591236816, 0.000820160545935274, 0.001954975054383981, 0.005312714914624115, 0.007008045309828159,1.5705895644693808, -0.1043963037557192, -1.1513783514157794, -0.10477099824813357, 1.570412195348016, -0.3137287051422729, -0.31447382083010694, -0.10522266765060782, 1.151538015538639, 1.360451627898509, 0.7293176949595263, 1.1501615383331194
0.08837209302325581,0.08885634116847639,0.2658137625452985,0.0,-1.0,1.0039770722997297,0.00039673044042340416, 0.000514359981116585, 0.0004982082606505908, 0.0003903520639189642, 0.0003620080168475684, 0.00047092488866829423, 0.0006700651694001937, 0.0006076715124434429, 0.0004013499941676808, 0.0008189092192214923, 0.001843157269600428, 0.001344455989392082,0.008014266973443346, 0.008014266973443354, 0.008014266973443353, 0.008014266973443351, 0.00801426697344335, 0.00801426697344335, 0.00801426697344335, 0.008014266973443351, 0.0, 0.00801426697344335, 0.016028533946886706, 0.0160285339468867,0.0010112268355893506, 0.0017467713573065193, 0.0020868407912277625, 0.0009641070354998673, 0.0014062473295017126, 0.0018592232797676649, 0.0026813704854564743, 0.003179280876708908, 0.0021520639153982126, 0.0013722592688712862, 0.0059924156740942145, 0.006615433445966969,1.5702536777412575, 0.5784831787685973, -0.24772168948039663, -1.40506249562508, 1.074328989850048, 0.24804640807990044, -0.7435750731489418, -0.08274165200207344, 0.5783967455612097, 0.41314359238257714, 1.0746988179362158, 1.2392227962204059
0.4017467248908297,0.4028001764910289,0.46015544971062516,0.0,-1.0,1.0044067912966856,0.0003424171085971394, 0.0005105870524836878, 0.0004931097278483011, 0.0003305717979694808, 0.0003478818670934141, 0.00048382539149830113, 0.0004757019271646895, 0.0005971438726302708, 0.00034960879267308364, 0.0006324467346591651, 0.0022236505637877667, 0.0012776584153410665,0.0, 0.0, 0.0, 0.022931333237881706, 0.0229313332378817, 0.0, 0.022931333237881706, 0.022931333237881702, 0.022931333237881702, 0.0229313332378817, 0.0, 0.022931333237881713,0.00033192296271357884, 0.0005935152597134709, 0.0006063468915828188, 0.00035310009551623513, 0.00041173039737024876, 0.0005709523028076585, 0.00066802214171807, 0.0008022857817047448, 0.00047758030761771637, 0.0009446233300802627, 0.002814110212136897, 0.0016623127663496682,1.5705765896759503, 0.47825096692017705, -0.6825385306899198, -0.7512451739922553, 1.297304955754268, 0.0003286949958826136, -0.8193886023556433, -0.2732253964006673, 0.34132740062596334, 1.0243308625388556, 1.1599720743991657, 1.2282695842907083
0.07476635514018691,0.07516700470841994,0.2452597085144292,0.0,-1.0,1.0024109598474584,0.0007537375668013421, 0.0004281531820679191, 0.0006348874868475889, 0.0005236356601597901, 0.0006573971060916226, 0.0004037721187683259, 0.001566915470004101, 0.0007613754154853258, 0.0008970971328450147, 0.0009645967999351695, 0.0009371199434808689, 0.0005966573621930985,0.007933314781792407, 0.0, 0.007933314781792407, 0.007933314781792409, 0.007933314781792409, 0.007933314781792405, 0.0, 0.0, 0.007933314781792409, 0.015866629563584814, 0.01586662956358481, 0.01586662956358481,0.0032407585651269945, 0.0018759342258359393, 0.0032251628540221214, 0.0021205970963784244, 0.0030743178744505524, 0.002188449410845059, 0.007696891996043597, 0.0027767594543734357, 0.0023144594902052723, 0.0034063704716535163, 0.002938915497582186, 0.0018377596954788449,1.5679913656703777, 0.19467565133344183, -0.784280962466154, -1.5686494111706688, 1.5688222855646161, -0.19663118735637172, -1.3677671916877492, -0.9793878537628253, 0.7858882400337887, 0.5878702361090162, 0.5882916406199994, 0.5880662744808827
